iter	Passed	Remaining
0	1	139
1	2	136
2	4	130
3	4	119
4	6	117
5	7	118
6	8	118
7	10	118
8	11	116
9	12	114
10	13	113
11	15	113
12	16	111
13	17	109
14	19	108
15	20	107
16	21	105
17	22	103
18	23	102
19	25	100
20	26	99
21	27	98
22	29	97
23	30	95
24	31	94
25	32	92
26	33	91
27	35	90
28	36	88
29	37	87
30	39	87
31	40	86
32	41	84
33	43	83
34	44	82
35	45	81
36	46	79
37	48	78
38	49	77
39	50	76
40	51	74
41	52	72
42	53	71
43	54	69
44	56	68
45	57	67
46	58	66
47	59	64
48	61	63
49	62	62
50	63	61
51	64	59
52	65	58
53	67	57
54	67	55
55	69	54
56	70	52
57	71	51
58	72	50
59	73	49
60	75	48
61	76	46
62	77	45
63	79	44
64	80	43
65	81	42
66	82	40
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	90	33
73	91	32
74	92	30
75	93	29
76	95	28
77	96	27
78	97	25
79	98	24
80	100	23
81	101	22
82	102	20
83	103	19
84	104	18
85	106	17
86	107	16
87	108	14
88	109	13
89	111	12
90	112	11
91	113	9
92	114	8
93	115	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	123	0
