iter	Passed	Remaining
0	142	142844
1	148	74135
2	153	50940
3	158	39439
4	161	32082
5	164	27318
6	166	23659
7	169	21046
8	172	18958
9	173	17210
10	175	15772
11	177	14575
12	178	13556
13	179	12670
14	181	11908
15	182	11244
16	183	10638
17	184	10092
18	185	9603
19	187	9165
20	188	8776
21	189	8415
22	190	8081
23	191	7774
24	192	7501
25	193	7242
26	194	7001
27	195	6790
28	196	6595
29	198	6403
30	199	6231
31	200	6073
32	201	5914
33	203	5769
34	204	5630
35	205	5497
36	206	5367
37	207	5246
38	208	5129
39	209	5019
40	211	4942
41	212	4847
42	213	4753
43	214	4660
44	215	4572
45	216	4490
46	217	4407
47	218	4329
48	219	4255
49	220	4185
50	221	4117
51	222	4049
52	223	3987
53	224	3933
54	225	3879
55	227	3834
56	229	3790
57	229	3734
58	231	3686
59	232	3638
60	233	3591
61	234	3544
62	235	3498
63	236	3455
64	237	3414
65	238	3380
66	240	3344
67	241	3311
68	242	3273
69	243	3234
70	244	3198
71	245	3163
72	246	3128
73	247	3094
74	248	3062
75	249	3030
76	250	3000
77	251	2971
78	252	2941
79	254	2924
80	255	2900
81	256	2876
82	257	2844
83	258	2817
84	259	2791
85	260	2767
86	261	2743
87	262	2718
88	263	2694
89	264	2671
90	265	2649
91	266	2627
92	267	2606
93	269	2594
94	270	2575
95	271	2555
96	272	2535
97	273	2516
98	274	2497
99	275	2479
100	276	2460
101	277	2442
102	278	2424
103	279	2408
104	280	2391
105	282	2379
106	283	2364
107	284	2347
108	285	2330
109	285	2313
110	286	2298
111	287	2283
112	288	2267
113	289	2253
114	290	2238
115	291	2224
116	292	2208
117	293	2195
118	294	2181
119	296	2171
120	297	2161
121	298	2146
122	299	2132
123	299	2119
124	300	2106
125	301	2094
126	302	2081
127	303	2069
128	304	2058
129	305	2046
130	306	2035
131	307	2024
132	308	2012
133	310	2005
134	311	1998
135	312	1987
136	313	1976
137	314	1966
138	315	1955
139	316	1946
140	317	1936
141	318	1924
142	319	1915
143	320	1906
144	321	1896
145	322	1888
146	323	1878
147	324	1870
148	326	1863
149	327	1855
150	328	1846
151	329	1837
152	330	1828
153	331	1819
154	332	1810
155	333	1802
156	334	1794
157	335	1786
158	336	1778
159	337	1770
160	337	1760
161	338	1752
162	340	1748
163	341	1741
164	342	1733
165	343	1725
166	344	1718
167	345	1711
168	346	1704
169	347	1697
170	348	1689
171	349	1683
172	350	1677
173	352	1671
174	353	1664
175	354	1658
176	355	1652
177	356	1645
178	357	1638
179	358	1632
180	359	1626
181	360	1619
182	361	1613
183	362	1607
184	363	1600
185	364	1594
186	365	1588
187	366	1582
188	367	1576
189	368	1571
190	369	1566
191	370	1561
192	371	1555
193	373	1549
194	373	1543
195	374	1538
196	375	1532
197	376	1526
198	377	1520
199	378	1515
200	379	1509
201	380	1504
202	381	1498
203	382	1493
204	384	1489
205	385	1484
206	386	1479
207	387	1474
208	388	1469
209	389	1464
210	390	1459
211	391	1454
212	392	1449
213	393	1445
214	394	1441
215	395	1437
216	397	1432
217	410	1471
218	413	1473
219	416	1475
220	418	1475
221	420	1474
222	422	1473
223	424	1471
224	426	1469
225	428	1466
226	429	1463
227	431	1460
228	432	1457
229	434	1453
230	435	1449
231	436	1446
232	438	1442
233	439	1438
234	440	1434
235	441	1429
236	442	1425
237	444	1422
238	445	1418
239	446	1414
240	447	1409
241	448	1406
242	449	1401
243	451	1397
244	452	1393
245	453	1389
246	454	1385
247	455	1381
248	456	1377
249	457	1372
250	458	1369
251	460	1365
252	461	1362
253	462	1357
254	463	1353
255	464	1349
256	465	1345
257	466	1341
258	467	1337
259	468	1333
260	469	1329
261	470	1325
262	471	1321
263	472	1318
264	474	1315
265	475	1311
266	476	1307
267	477	1304
268	478	1300
269	479	1296
270	480	1292
271	481	1289
272	482	1285
273	483	1281
274	484	1278
275	485	1274
276	486	1270
277	488	1269
278	489	1265
279	490	1262
280	491	1258
281	493	1255
282	494	1251
283	495	1248
284	496	1244
285	497	1241
286	498	1238
287	499	1234
288	500	1231
289	501	1228
290	503	1226
291	504	1222
292	505	1219
293	506	1216
294	507	1212
295	508	1209
296	509	1206
297	510	1202
298	511	1199
299	512	1196
300	513	1193
301	514	1189
302	515	1186
303	517	1183
304	518	1181
305	519	1177
306	520	1174
307	521	1171
308	522	1168
309	523	1164
310	524	1161
311	525	1158
312	526	1155
313	527	1152
314	528	1149
315	529	1146
316	530	1143
317	532	1141
318	533	1138
319	534	1135
320	535	1132
321	536	1129
322	537	1126
323	538	1123
324	539	1120
325	540	1117
326	541	1113
327	542	1110
